route_id,route_short_name,route_long_name,route_type
585,G08v,Ruta G08v regreso,3
586,G09,Ruta G09 ida,3
587,G09,Ruta G09 regreso,3
588,G11,Ruta G11 ida,3
589,G11,Ruta G11 regreso,3
590,G12,Ruta G12 ida,3
591,G12,Ruta G12 regreso,3
592,G13,Ruta G13 ida,3
593,G13,Ruta G13 regreso,3
594,G13c,Ruta G13c ida,3
595,G14,Ruta G14 ida,3
596,G14,Ruta G14 regreso,3
597,G15,Ruta G15 ida,3
598,G15,Ruta G15 regreso,3
599,G16,Ruta G16 ida,3
600,G16,Ruta G16 regreso,3
601,G18,Ruta G18 ida,3
602,G18,Ruta G18 regreso,3
603,G22,Ruta G22 ida,3
604,G22,Ruta G22 regreso,3
605,G23,Ruta G23 ida,3
606,G23,Ruta G23 regreso,3
607,G24,Ruta G24 ida,3
608,G24,Ruta G24 regreso,3
609,G27,Ruta G27 ida,3
610,G28,Ruta G28 ida,3
611,G31,Ruta G31 ida,3
612,G31,Ruta G31 regreso,3
613,G32,Ruta G32 ida,3
614,G35,Ruta G35 ida,3
615,G37,Ruta G37 ida,3
616,G37,Ruta G37 regreso,3
617,G38,Ruta G38 ida,3
618,G39,Ruta G39 ida,3
619,G43,Ruta G43 ida,3
620,G43,Ruta G43 regreso,3
621,H02,Ruta H02 ida,3
622,H02,Ruta H02 regreso,3
623,H03,Ruta H03 ida,3
624,H03,Ruta H03 regreso,3
625,H04,Ruta H04 ida,3
626,H04,Ruta H04 regreso,3
627,H05,Ruta H05 ida,3
628,H05,Ruta H05 regreso,3
629,H06,Ruta H06 ida,3
630,H06,Ruta H06 regreso,3
631,H07,Ruta H07 ida,3
632,H07,Ruta H07 regreso,3
633,H08,Ruta H08 ida,3
634,H08,Ruta H08 regreso,3
635,H09,Ruta H09 ida,3
636,H09,Ruta H09 regreso,3
637,H12,Ruta H12 ida,3
638,H12,Ruta H12 regreso,3
639,H13,Ruta H13 ida,3
640,H13,Ruta H13 regreso,3
641,H14,Ruta H14 ida,3
642,H14,Ruta H14 regreso,3
643,I01,Ruta I01 ida,3
644,I01,Ruta I01 regreso,3
645,I02,Ruta I02 ida,3
646,I02,Ruta I02 regreso,3
647,I03,Ruta I03 ida,3
648,I03,Ruta I03 regreso,3
649,I03c,Ruta I03c ida,3
650,I03c,Ruta I03c regreso,3
651,I04,Ruta I04 ida,3
652,I04,Ruta I04 regreso,3
653,I04c,Ruta I04c ida,3
654,I04c,Ruta I04c regreso,3
655,I04e,Ruta I04e ida,3
656,I05,Ruta I05 ida,3
657,I05,Ruta I05 regreso,3
658,I07,Ruta I07 ida,3
659,I07,Ruta I07 regreso,3
660,I08,Ruta I08 ida,3
661,I08,Ruta I08 regreso,3
662,I08c,Ruta I08c ida,3
663,I08n,Ruta I08n ida,3
664,I08n,Ruta I08n regreso,3
665,I09,Ruta I09 ida,3
666,I09,Ruta I09 regreso,3
667,I09c,Ruta I09c ida,3
668,I09c,Ruta I09c regreso,3
669,I09e,Ruta I09e ida,3
670,I09e,Ruta I09e regreso,3
671,I10,Ruta I10 ida,3
672,I10,Ruta I10 regreso,3
673,I10n,Ruta I10n ida,3
674,I10n,Ruta I10n regreso,3
675,I11,Ruta I11 ida,3
676,I11,Ruta I11 regreso,3
677,I11n,Ruta I11n ida,3
678,I11n,Ruta I11n regreso,3
679,I12,Ruta I12 ida,3
680,I12,Ruta I12 regreso,3
681,I13,Ruta I13 ida,3
682,I13,Ruta I13 regreso,3
683,I14,Ruta I14 ida,3
684,I14,Ruta I14 regreso,3
685,I14n,Ruta I14n ida,3
686,I14n,Ruta I14n regreso,3
687,I16,Ruta I16 ida,3
688,I16,Ruta I16 regreso,3
689,I17,Ruta I17 ida,3
690,I17,Ruta I17 regreso,3
691,I18,Ruta I18 ida,3
692,I18,Ruta I18 regreso,3
693,I20,Ruta I20 ida,3
694,I20,Ruta I20 regreso,3
695,I21,Ruta I21 ida,3
696,I21,Ruta I21 regreso,3
697,I22,Ruta I22 ida,3
698,I22,Ruta I22 regreso,3
699,I24,Ruta I24 ida,3
700,I24,Ruta I24 regreso,3
701,I25,Ruta I25 ida,3
702,I25,Ruta I25 regreso,3
703,I35,Ruta I35 ida,3
704,I35,Ruta I35 regreso,3
705,J01,Ruta J01 ida,3
706,J01,Ruta J01 regreso,3
707,J01c,Ruta J01c ida,3
708,J01c,Ruta J01c regreso,3
709,J02,Ruta J02 ida,3
710,J02,Ruta J02 regreso,3
711,J03,Ruta J03 ida,3
712,J03,Ruta J03 regreso,3
713,J04,Ruta J04 ida,3
714,J04,Ruta J04 regreso,3
715,J05,Ruta J05 ida,3
716,J05,Ruta J05 regreso,3
717,J06,Ruta J06 ida,3
718,J06,Ruta J06 regreso,3
719,J07,Ruta J07 ida,3
720,J07,Ruta J07 regreso,3
721,J07c,Ruta J07c ida,3
722,J07e,Ruta J07e ida,3
723,J07e,Ruta J07e regreso,3
724,J08,Ruta J08 ida,3
725,J08,Ruta J08 regreso,3
726,J10,Ruta J10 ida,3
727,J10,Ruta J10 regreso,3
728,J11,Ruta J11 ida,3
729,J11,Ruta J11 regreso,3
730,J12,Ruta J12 ida,3
731,J12,Ruta J12 regreso,3
732,J13,Ruta J13 ida,3
733,J13,Ruta J13 regreso,3
734,J13c,Ruta J13c ida,3
735,J13c,Ruta J13c regreso,3
736,J15c,Ruta J15c ida,3
737,J15c,Ruta J15c regreso,3
738,J16,Ruta J16 ida,3
739,J16,Ruta J16 regreso,3
740,J17,Ruta J17 ida,3
741,J17,Ruta J17 regreso,3
742,J18,Ruta J18 ida,3
743,J18,Ruta J18 regreso,3
744,J18c,Ruta J18c ida,3
745,J18c,Ruta J18c regreso,3
746,J19,Ruta J19 ida,3
747,J19,Ruta J19 regreso,3
748,J20,Ruta J20 ida,3
749,J20,Ruta J20 regreso,3
